AADT,Latitude,Longitude,yn,Divided,LaneCount,DGAC,Latex,SMA,PCCP,Age,Friction,Macro,IRI,Gradient,Curvature,LatitudeGPS,LongitudeGps,Crash,lnAADT
35000,37.55048682,-77.44567958,1,1,3,1,0,0,0,11,38.11273193,0.603125,5.9706875,-2.5875,0.00030625,37.55032541,-77.44580366,85,10.46310334
77000,37.65068828,-77.60818131,1,1,3,1,0,0,0,4,48.72802303,0.774375,0.9538125,-0.64875,0.0002,37.65077292,-77.60812497,86,11.2515607
57000,37.50041241,-77.52972554,1,1,3,1,0,0,0,3,41.77372841,0.768823529,1.900764706,-0.300588235,0.000417647,37.5004703,-77.52974939,45,10.95080655
52000,37.50563841,-77.60812727,1,1,2,0,1,0,0,6,39.67944658,0.680625,1.556375,-0.243125,0.00025,37.50564636,-77.60828207,40,10.858999
35000,37.54911975,-77.4469053,1,1,3,1,0,0,0,11,40.57471209,1.185833333,6.021,-0.566666667,0.000525,37.54913292,-77.44692171,45,10.46310334
57000,37.50110293,-77.52865485,1,1,3,1,0,0,0,8,40.19102687,0.835294118,2.603823529,0.972941176,0.000247059,37.50095858,-77.52865795,44,10.95080655
77000,37.64956013,-77.60091312,1,1,3,1,0,0,0,4,53.28428503,0.815833333,2.074583333,1.970833333,0.000658333,37.6493568,-77.60105504,64,11.2515607
57000,37.49941318,-77.5349648,1,1,3,1,0,0,0,3,41.62984645,0.834375,1.8629375,-1.004375,0.00026875,37.49951076,-77.5350542,38,10.95080655
102000,37.5508209,-77.42873571,0,1,2,1,0,0,0,3,46.17012156,0.794375,2.3785,1.893125,0.0003625,37.55088495,-77.42866976,54,11.53272809
4600,37.57474205,-77.46098762,0,1,3,1,0,0,0,4,47.41709853,0.881764706,1.368823529,0.967647059,0.000370588,37.57469044,-77.46098847,61,8.433811582
77000,37.64895893,-77.60059741,1,1,3,1,0,0,0,3,44.76327575,0.660625,2.0803125,-2.291875,0.00054375,37.64899659,-77.60048502,39,11.2515607
77000,37.64988229,-77.60403487,1,1,3,1,0,0,0,4,42.33326935,0.29625,1.369625,1.018125,0.000325,37.64968259,-77.60400956,36,11.2515607
35000,37.55161918,-77.44481695,1,1,3,1,0,0,0,11,37.56917786,0.705625,5.3925,-1.6825,0.00028125,37.55147383,-77.44473988,34,10.46310334
20000,37.3482559,-77.41094481,1,1,2,1,0,0,0,13,45.24288228,0.421818182,1.541818182,-2.260909091,0.000272727,37.34819977,-77.41081622,45,9.903487553
20000,37.51000936,-77.47641284,1,1,4,1,0,0,0,3,44.02787908,0.606363636,1.697636364,-0.324545455,0.000827273,37.50995303,-77.47651522,37,9.903487553
13000,37.64898516,-77.59441442,1,1,3,0,0,1,0,13,44.34761676,0.86625,3.377875,0.994375,0.00029375,37.64901934,-77.59437603,41,9.472704636
77000,37.65012236,-77.60587974,1,1,3,1,0,0,0,4,49.35151152,0.271666667,2.40525,-0.1675,0.000283333,37.65004641,-77.60581027,42,11.2515607
77000,37.65123974,-77.60995644,0,1,3,1,0,0,0,4,48.72802303,0.795,1.2255625,1.3775,0.000175,37.6511267,-77.60988348,46,11.2515607
35000,37.64434716,-77.56929997,1,1,3,0,1,0,0,6,45.37077735,1.023125,2.4161875,-2.04625,0.00019375,37.644333,-77.5690874,31,10.46310334
63000,37.50071681,-77.57229843,1,1,3,1,0,0,0,3,37.88891555,0.700625,1.5696875,-1.25125,0.0003875,37.50052408,-77.57228935,27,11.05089001
43000,37.50493506,-77.6135342,1,1,2,1,0,0,0,6,36.76983365,0.370909091,1.926909091,0.262727273,0.000281818,37.50486838,-77.61341914,28,10.66895539
